Book_ID,Title,Author,Language,Pages,Ratings,Reviews,Publication_Date,Genre,Price,Year,Genre_Weight
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng,6.481577129276431,4.57,1.3202633807993278,2006-09-16,Fantasy,2119.273689490526,2006,800
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng,6.769641976852503,4.49,1.320727400002302,2004-09-01,Fantasy,2109.868379953797,2004,700
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng,5.8664680569332965,4.42,1.1871252959028378,2003-11-01,Thriller,1795.21794794998,2003,1500
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng,6.077642243349034,4.56,1.3221450591202468,2004-05-01,Comedy,1571.041086851508,2004,600
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng,7.897668150726906,4.78,1.2394569081316218,2004-09-13,Thriller,1817.3736126267186,2004,600
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,en-US,5.030437921392435,3.74,0.8692942392849476,2005-04-26,Fantasy,1867.832645414183,2005,700
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng,8.114623886420098,4.73,1.22971182283151,2005-09-12,Drama,1721.9177206861004,2005,1500
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,1.169022932953172,2005-11-01,Romance,1448.1697460280552,2005,1500
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,1.2801838883952448,2002-04-30,Drama,1559.616184245738,2002,1000
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,5.375278407684165,4.22,1.1791591154375871,2004-08-03,Thriller,1749.9169214328717,2004,700
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng,1.9459101490553128,4.22,1.1305409201729193,2005-03-23,Horror,1641.1134571050275,2005,700
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,6.704414354964107,4.38,1.1610584580431513,1996-01-17,Drama,1595.8511670316543,1996,1000
21,A Short History of Nearly Everything,Bill Bryson,eng,6.300785794663244,4.21,1.2801007482126447,2004-09-14,Comedy,1475.3056015178324,2004,700
22,Bill Bryson's African Diary,Bill Bryson,eng,4.02535169073515,3.44,1.1914013771905376,2002-12-03,Horror,1388.706758469092,2002,700
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng,5.54907608489522,3.87,1.1495957371972798,2004-09-14,Romance,1327.5819816576816,2004,800
24,In a Sunburned Country,Bill Bryson,eng,5.817111159963204,4.07,1.2529548611305885,2001-05-15,Comedy,1444.25241676515,2001,1000
